,up,down,left,right
"(5, 61)",-inf,-633443450.2466164,-inf,2.0661443472744679e+142
"(5, 62)",-inf,-inf,-573906329.6321687,5.851021142143998e+142
"(5, 63)",-inf,1.602625326383041e+143,-490270459.2918815,-inf
"(6, 1)",1.981819208927097e+279,-191753079.2121796,-inf,-inf
"(6, 3)",1.830206803964326e+288,-1255172195.9289858,-inf,-inf
"(6, 9)",-998671086.6747988,2.853119571804217e+285,-inf,-inf
"(6, 15)",1.3882267547811223e+290,-5200845291.352378,-inf,-inf
"(6, 17)",1.3866883425800478e+168,5.29092295469301e+289,-inf,-inf
"(6, 19)",6.0204269954251e+286,-32622515321.20293,-inf,-inf
"(6, 23)",-1831994223.38722,5.3939919541614093e+275,-inf,-inf
"(6, 25)",4.611862525174508e+257,-1908546763.3737576,-inf,-inf
"(6, 33)",-1704920255.6653447,4.2560284206474644e+251,-inf,-inf
"(6, 35)",1.5864395819867536e+144,-59795759.333589554,-inf,-inf
"(6, 37)",1.7684488382154468e+128,3.366379237294299e+129,-inf,-inf
"(6, 41)",1.2459085502713333e+137,-20802650.770910192,-inf,-inf
"(6, 43)",-57103221.84727703,2.343320093101774e+137,-inf,-inf
"(6, 47)",7.027100913073808e+131,-151222069.1757832,-inf,-inf
"(6, 49)",-224355154.7775948,1.0375781068667512e+130,-inf,-inf
"(6, 51)",4.01117576114962e+143,-46144583.3132382,-inf,-inf
"(6, 59)",-450930661.214902,6.701803782379491e+139,-inf,-inf
"(6, 61)",7.050920845872731e+141,-669192303.0788938,-inf,-inf
"(6, 63)",-441731105.2403792,4.248269672513144e+143,-inf,-inf
"(7, 1)",4.848962987272329e+277,-125869012.23018086,-inf,-inf
"(7, 3)",2.065095416893705e+288,-1074198909.0696924,-inf,-inf
"(7, 5)",-inf,2.343747743692929e+288,-inf,1.3116780991597076e+253
"(7, 6)",-inf,-inf,2.144447643750899e+288,-1017731207.281675
"(7, 7)",-inf,-1264921113.735401,1.9138813698220533e+288,-inf
"(7, 9)",-1255024250.583434,-inf,-inf,1.4151449192623269e+285
"(7, 10)",-inf,-inf,-1531360013.4005885,6.797285722487219e+284
"(7, 11)",-inf,-inf,-1819692957.5165756,3.1587783303834413e+284
"(7, 12)",-inf,-inf,-2143746992.294544,1.4192775917498079e+284
"(7, 13)",-inf,6.1610488903852086e+283,-2342052795.8111687,-inf
"(7, 15)",2.1102052473670423e+290,4.942908851612775e+282,-inf,3.648312397976095e+274
"(7, 16)",-inf,-inf,1.4294424264250204e+290,-7826632621.277675
"(7, 17)",-9275924391.056849,-inf,9.012509558046824e+289,-inf
"(7, 19)",1.8665980878516384e+286,-36384846797.357086,-inf,-inf
"(7, 21)",-inf,1.3407486499577834e+267,-inf,-inf
"(7, 23)",-1494705591.862672,6.759987267847786e+275,-inf,-inf
"(7, 25)",1.6095519199175605e+258,-inf,-inf,8.209408876554571e+207
"(7, 26)",-inf,-inf,5.4891004068135844e+258,-1372996530.8610044
"(7, 27)",-inf,-1144946064.7365966,1.8293734545845226e+259,-inf
"(7, 29)",-inf,-47058669.205892704,-inf,3.705138440740667e+239
"(7, 30)",-inf,-inf,-74500192.70818616,1.0433897799969743e+241
"(7, 31)",-inf,2.1564939783854596e+242,-115932472.16545355,-inf
"(7, 33)",-1422847135.2142148,9.113555999353009e+250,-inf,-inf
"(7, 35)",9.820949227456345e+144,-57470748.21854221,-inf,-inf
"(7, 37)",-90460259.8120208,4.1404609797933086e+128,-inf,-inf
"(7, 39)",-inf,-inf,-inf,1.552893314560847e+132
"(7, 40)",-inf,-inf,-9881178.459030734,1.2329629693704111e+134
"(7, 41)",4.82262261400196e+135,-inf,-14505762.16594113,-inf
"(7, 43)",-67007879.19541175,1.0520118655342473e+137,-inf,-inf
"(7, 45)",-inf,-77222759.00930473,-inf,1.417326757536547e+133
"(7, 46)",-inf,-inf,-97559296.87533444,5.285058819937096e+132
"(7, 47)",1.9415567818429107e+132,-inf,-120851802.33845852,-inf
"(7, 49)",-247993116.20843023,3.482695112927826e+129,-inf,-inf
"(7, 51)",5.5016941166174515e+143,-inf,-inf,-60916105.32759231
"(7, 52)",-inf,-inf,7.43124522348646e+143,-76924434.50700124
"(7, 53)",-inf,-inf,9.885184456304226e+143,-96052414.87693128
"(7, 54)",-inf,-inf,1.2949412007102765e+144,-113050535.21487162
"(7, 55)",-inf,-inf,1.670318903633823e+144,-117321222.17875066
"(7, 56)",-inf,-inf,2.1217545012039896e+144,-109895826.3583361
"(7, 57)",-inf,-100512709.17604628,2.6537348126366454e+144,-inf
"(7, 59)",-518863184.22521234,-inf,-inf,2.2674009172065198e+140
"(7, 60)",-inf,-inf,-582503355.7164704,7.3883808353124374e+140
"(7, 61)",2.323124957832885e+141,-inf,-645293236.6174544,-inf
"(7, 63)",-381875874.3017178,1.0906853565519873e+144,-inf,-inf
"(8, 1)",7.447689185741667e+275,-82151235.40742464,-inf,-inf
"(8, 3)",2.2701283067793166e+288,-860252735.6344427,-inf,-inf
"(8, 5)",-615698479.2906113,2.4967475999297527e+288,-inf,-inf
"(8, 7)",1.6687740619372898e+288,-1602508134.916214,-inf,-inf
"(8, 13)",-2332081890.3010573,2.5823639188843456e+283,-inf,-inf
"(8, 15)",1.6074234329547976e+290,-6916841395.239613,-inf,-inf
"(8, 19)",5.370226756623779e+285,-40870270929.47015,-inf,-inf
"(8, 21)",-65021598.9137592,9.22151350640326e+269,-inf,-inf
"(8, 23)",8.128958493946647e+166,8.392149051988655e+275,-inf,-inf
"(8, 27)",5.961369737257887e+259,-944981739.3551556,-inf,-inf
"(8, 29)",8.358307010595072e+237,-30337678.37438705,-inf,-inf
"(8, 31)",-175797248.47579214,3.4546985525870225e+243,-inf,-inf
"(8, 33)",-1204354411.5217533,1.893791185254988e+250,-inf,-inf
"(8, 35)",6.03017229733991e+145,-54703489.32029615,-inf,-inf
"(8, 37)",-97988990.76596291,5.0076381079232405e+127,-inf,-inf
"(8, 43)",-72097251.77862236,4.654143948953573e+136,-inf,-inf
"(8, 45)",3.7450995680834863e+133,-62417788.76775343,-inf,-inf
"(8, 49)",-260799216.70721385,1.151352938169468e+129,-inf,-inf
"(8, 57)",3.268007468977633e+144,-84989198.15042911,-inf,-inf
"(8, 63)",-335248235.7589992,2.713443002900679e+144,-inf,-inf
"(9, 1)",6.143015473522615e+273,-inf,-inf,-inf
"(9, 3)",2.4344913172265514e+288,-inf,-inf,-705254018.0981328
"(9, 4)",-inf,-inf,2.543162796685872e+288,-576297662.8204762
"(9, 5)",-465305576.1237226,4.715743408464175e+273,2.5914103561475827e+288,-inf
"(9, 7)",1.4197088504435112e+288,-1975475582.8138397,-inf,-inf
"(9, 9)",-inf,5.010641045890887e+273,-inf,-inf
"(9, 11)",-inf,1.5283517810562933e+282,-inf,-1515412280.699092
"(9, 12)",-inf,-inf,4.070923078448484e+282,-1829412898.500064
"(9, 13)",-2126690440.088065,-inf,1.0443788227624974e+283,-inf
"(9, 15)",1.1455094385302758e+290,-inf,-inf,-6793744229.8451805
"(9, 16)",-inf,-inf,7.629435305416404e+289,-6189320102.267716
"(9, 17)",-inf,-5327382617.31381,4.758008433560188e+289,-inf
"(9, 19)",1.4293386250191418e+285,-45398221827.35088,-inf,-inf
"(9, 21)",-103518900.2400734,2.1673030614693616e+272,-inf,-inf
"(9, 23)",-934686775.5801656,1.0299229714514349e+276,-inf,-inf
"(9, 25)",-inf,-526540582.0783753,-inf,1.807163892193224e+261
"(9, 26)",-inf,-inf,-661947590.1353958,5.921285849432566e+260
"(9, 27)",1.8997459913274654e+260,-inf,-801321065.7229868,-inf
"(9, 29)",9.082740266666368e+235,-inf,-inf,-inf
"(9, 31)",-256508408.41255352,4.518110132307606e+244,-inf,-inf
"(9, 33)",-997240997.9042308,3.815094181606742e+249,-inf,-inf
"(9, 35)",3.6530616436929778e+146,-51162582.728400856,-inf,-inf
"(9, 37)",-104145528.5200006,5.960887984731513e+126,-inf,-inf
"(9, 39)",-inf,-70911175.95368496,-inf,6.210782292426647e+120
"(9, 40)",-inf,-inf,-63104119.30624932,6.2923565466201166e+119
"(9, 41)",-inf,6.275361708422533e+118,-58080312.67943421,-inf
"(9, 43)",-69122588.09171982,2.0289367656421456e+136,-inf,-inf
"(9, 45)",9.749941447929398e+133,-49601887.69591835,-inf,-inf
"(9, 47)",-inf,5.827916291871957e+128,-inf,-inf
"(9, 49)",-258550762.6097453,3.7486858163929406e+128,-inf,-inf
"(9, 51)",-inf,-inf,-inf,2.8431803369856046e+135
"(9, 52)",-inf,-inf,-10641628.79470199,2.9326252084489042e+137
"(9, 53)",-inf,-inf,-16047579.643406978,1.4955596277792222e+139
"(9, 54)",-inf,-inf,-23707563.75071381,5.0089569502003936e+140
"(9, 55)",-inf,-inf,-35289709.51160964,1.2461484144476522e+142
"(9, 56)",-inf,-inf,-49186526.08559477,2.4500116355188927e+143
"(9, 57)",3.96228570828701e+144,-inf,-72380513.83904229,-72824280.47797579
"(9, 58)",-inf,-inf,4.485050173954967e+144,-91387926.61988522
"(9, 59)",-inf,-inf,4.995626736714679e+144,-120682228.71321812
"(9, 60)",-inf,-inf,5.475587797252882e+144,-150182084.89015642
"(9, 61)",-inf,-inf,5.905581847476419e+144,-186978757.46170223
"(9, 62)",-inf,-inf,6.266184400075519e+144,-228663917.0384911
"(9, 63)",-281949278.60011685,-281781640.44799024,6.541885241107301e+144,-inf
"(10, 5)",8.014687537408754e+286,-273107536.5170414,-inf,-inf
"(10, 7)",1.1806109639324749e+288,-2419941216.712874,-inf,-inf
"(10, 9)",-62353677.3660296,2.940959802145219e+275,-inf,-inf
"(10, 11)",-1225684591.8527656,5.520662348025484e+281,-inf,-inf
"(10, 17)",2.777301179874438e+289,-4513029749.435964,-inf,-inf
"(10, 19)",3.506165864194095e+284,-49612934942.75196,-inf,-inf
"(10, 21)",-172007592.60996085,2.7544009067746965e+274,-inf,-inf
"(10, 23)",-720379149.809022,1.2509688109423716e+276,-inf,-inf
"(10, 25)",5.402205818108811e+261,-406234335.84029007,-inf,-inf
"(10, 31)",-362623238.85464,4.879966002937295e+245,-inf,-inf
"(10, 33)",-819891819.8386729,7.445445702914881e+248,-inf,-inf
"(10, 35)",2.182377095023266e+147,-47250013.22746777,-inf,-inf
"(10, 37)",-108728953.13629311,6.96922462417605e+125,-inf,-inf
"(10, 39)",6.03538538648672e+121,-77505868.75304095,-inf,-inf
"(10, 41)",-51574202.31984447,6.159588180892559e+117,-inf,-inf
"(10, 43)",-61542453.74188232,8.715903103749024e+135,-inf,-inf
"(10, 45)",2.5011463125649447e+134,-40656997.72113747,-inf,-inf
"(10, 47)",-9286113.492064953,4.261038408929317e+130,-inf,-inf
"(10, 49)",-241093256.45574093,1.20198022416619e+128,-inf,-inf
"(10, 63)",4.0062429627649654e+144,-306168835.4719153,-inf,-inf
"(11, 1)",-inf,-41384559945.501015,-inf,4.538675704446621e+285
"(11, 2)",-inf,-inf,-35493833293.08755,7.69883389491676e+285
"(11, 3)",-inf,1.2797023143022106e+286,-29587329094.71247,-inf
"(11, 5)",1.8565402204921648e+285,-165667838.53929782,-inf,-inf
"(11, 7)",9.57710001525182e+287,-2976153519.1616287,-inf,-inf
"(11, 9)",-103065653.13806136,8.12443109563066e+276,-inf,-inf
"(11, 11)",-966913223.0823164,1.916634260312852e+281,-inf,-inf
"(11, 13)",-inf,4.245765815495513e+275,-inf,-102455079.7951722
"(11, 14)",-inf,-inf,1.7471789222690438e+274,-82007972.21005513
"(11, 15)",-inf,-61991521.7390273,5.38769637539293e+272,-inf
"(11, 17)",1.5180667895693383e+289,-3728200827.7241263,-inf,-inf
"(11, 19)",7.954923949996486e+283,-52912475034.15942,-inf,-inf
"(11, 21)",3.567833650769056e+203,2.085439458890584e+276,-inf,-300165581.1028474
"(11, 22)",-inf,-inf,1.7756881678958858e+276,-406279409.4556218
"(11, 23)",-541163648.1673284,-inf,1.4997944584372342e+276,-inf
"(11, 25)",1.581191720782473e+262,1.1259490673482578e+223,-inf,-inf
"(11, 27)",-inf,6.293228252031126e+264,-inf,-471601269.8930838
"(11, 28)",-inf,-inf,1.5901034602329403e+265,-581609450.2600636
"(11, 29)",-inf,-696601887.8736227,3.9442422485558444e+265,-inf
"(11, 31)",9.450087049344396e+222,4.529038063351313e+246,-inf,-498307651.9089649
"(11, 32)",-inf,-inf,2.5683441569424214e+247,-585043515.751447
"(11, 33)",-693317443.7176987,-inf,1.406376060183305e+248,-inf
"(11, 35)",1.2851062804305317e+148,-40940570.48741271,-inf,-inf
"(11, 37)",-106081798.52787116,-inf,-inf,7.910580573024084e+124
"(11, 38)",-inf,-inf,4.373370476453976e+122,8.169287826955372e+123
"(11, 39)",5.775222692502852e+122,-inf,-86743852.91747238,-inf
"(11, 41)",-44105081.088562414,5.949392463228271e+116,-inf,-inf
"(11, 43)",-51639581.57792023,-inf,-inf,3.689127090058091e+135
"(11, 44)",-inf,-inf,-41379227.767397605,1.538632504052534e+135
"(11, 45)",6.3227616284832615e+134,-inf,-32544148.293186955,-32232766.748346828
"(11, 46)",-inf,-inf,3.620721303503157e+133,-20598767.55966295
"(11, 47)",-13962989.2938779,-inf,1.5300721339144408e+132,-inf
"(11, 49)",-213217531.28769788,3.7952964418187166e+127,-inf,-inf
"(11, 51)",-inf,-107544867.71803316,-inf,1.2528488672017509e+122
"(11, 52)",-inf,-inf,-112535991.79891662,3.1394879982952917e+121
"(11, 53)",-inf,-inf,-126780345.11545256,7.743340001611632e+120
"(11, 54)",-inf,-inf,-141952241.65068698,1.879600250442171e+120
"(11, 55)",-inf,4.489920058658167e+119,-151430709.1801669,-inf
"(11, 57)",-inf,1.6806187149829762e+139,-inf,-27318908.39707408
"(11, 58)",-inf,-inf,3.021648477604232e+137,-16663672.860727776
"(11, 59)",-inf,-inf,2.678496403974137e+135,-inf
"(11, 61)",-inf,-283071312.11681,-inf,7.994758803404076e+143
